Transaction Date,Post Date,Description,Category,Type,Amount,Memo
1/27/24,1/28/24,CLIPMX*AMORESAYULITA,Shopping,Sale,-5.26,
1/26/24,1/28/24,SUPER KIOSKO SAYULITA,Groceries,Sale,-1.75,
1/25/24,1/26/24,PAYPAL *NORDSTROM,Shopping,Return,46.73,
1/25/24,1/26/24,PAYPAL *NORDSTROM,Shopping,Return,96.75,
1/21/24,1/23/24,MIDCITY NAILS,Personal,Sale,-20,
1/22/24,1/22/24,Payment Thank You-Mobile,,Payment,269.17,
1/20/24,1/21/24,TK PHYSICAL THERAPY AN,Health & Wellness,Sale,-177.07,
1/17/24,1/18/24,APPLE.COM/BILL,Shopping,Sale,-9.99,
1/16/24,1/17/24,CAPSULE PHARMACY,Health & Wellness,Sale,-2,
1/15/24,1/16/24,DD DOORDASH FRONTERAG,Food & Drink,Sale,-22.68,
1/13/24,1/14/24,CAPSULE PHARMACY,Health & Wellness,Sale,-2.9,
1/12/24,1/14/24,PAYPAL *NORDSTROM,Shopping,Sale,-96.75,
1/11/24,1/12/24,PAYPAL *NORDSTROM,Shopping,Sale,-46.73,
1/7/24,1/8/24,TK PHYSICAL THERAPY AN,Health & Wellness,Sale,-177.07,
1/6/24,1/7/24,CAPSULE PHARMACY,Health & Wellness,Sale,-21,
1/5/24,1/5/24,CAPSULE PHARMACY,Health & Wellness,Sale,-10.01,